ID,app_ID,Call,Service_Type,Market,State,transmitter_lat,transmitter_lon,avg.dist,xFormat,Format,SEPT.16,OCT.16,NOV.16,DEC.16,Share_Change,Christmas
BNPED-19951214MA,217877,951214MA,FM,NA,VT,44.92921,-72.70152,10173.32,NA,NA,NA,NA,NA,NA,NA,FALSE
BNPED-19980512MP,1039442,980512MP,FM,NA,NA,41.52282,-87.02447,14166.03,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20100412AAD,1421014,DKANM,FM,NA,NM,35.04726,-107.61866,7334.81,NA,NA,NA,NA,NA,NA,NA,FALSE
BNPH-20110726AHJ,1448890,DKBPD,FM,NA,TX,35.43255,-100.27568,38019.45,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20130613AAA,1559134,DKCGO,FM,NA,OR,43.75151,-123.07591,5643.54,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20110302ABL,1419174,DKCOO,FM,NA,IA,42.70662,-92.21787,27710.95,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20121009ADF,1519997,DKDAJ,FM,NA,CA,34.12084,-115.76969,5643.41,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-1010,300123,DKDCV,FM,NA,NE,41.55194,-96.15585,3605.92,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20120426ACN,1497682,DKDVZ,FM,NA,CA,37.99715,-123.01305,8380.52,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20080229AAG,1236364,DKECK,FM,NA,CO,40.00915,-102.76021,49181.92,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20120228ABV,1489592,DKEQS,FM,NA,AZ,33.67197,-114.20745,6854.93,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19970715KD,249816,DKKJW,FM,NA,TX,31.85263,-101.80568,46587.17,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20090528ACG,1314883,DKKRY,FM,NA,AZ,33.06951,-111.05428,13572.45,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20100702CUR,1384536,DKMAE,FM,NA,TX,27.54503,-98.87474,24945.95,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20121219AEK,1534772,DKNGQ,FM,NA,AZ,33.78489,-113.61907,8618.72,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20121213AIU,1534157,DKONK,FM,NA,CO,39.10554,-103.67551,21194.5,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-19981013KB,275336,DKPBB,FM,NA,TX,33.15509,-102.28129,27070.17,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20050812AOL,1079508,DKPBJ,FM,NA,TX,31.96096,-101.90735,23707.32,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20110222ADS,1416880,DKQNO,FM,NA,CA,36.1294,-120.44877,36131.52,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20120817ACL,1512224,DKRBO,FM,NA,CA,36.20163,-121.46463,11780.35,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20120907ABB,1514101,DKRJA,FM,NA,TX,32.73516,-101.96016,7611.55,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20101101ABR,1404795,DKSKX,FM,NA,OR,43.30541,-121.71725,25604.34,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19941115KA,204054,DKSLK,FM,NA,CA,36.36634,-119.18011,27189.41,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20050309AAI,1050086,DKTDK,FM,NA,TX,33.47983,-97.0564,37663.19,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20120629ADL,1509938,DKTLH,FM,NA,CO,38.03612,-102.59992,23578.77,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20121018ABQ,1520965,DKTMJ,FM,NA,CO,39.30666,-102.27797,9999.79,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20071121AAA,1221086,DKWTY,FM,NA,CA,36.32105,-118.02369,14619.66,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20121119AGR,1526335,DKXKY,FM,NA,AR,35.33426,-93.86103,6246.5,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20120731ATG,1510249,DKZAV,FM,NA,CA,35.9371,-120.09678,14533.18,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20110505ABP,1444128,DKZME,FM,NA,OR,45.32873,-121.71091,17132.6,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-19920615KH,174517,DKZPI,FM,NA,NM,32.2587,-107.77975,10116.85,NA,NA,NA,NA,NA,NA,NA,FALSE
