Call Sign,Freq.,City,Format
WQME,98.7 FM,"Anderson, IN",Holiday (Christian Contemporary)
KBPS,1450 AM,"Portland, OR",Holiday (Grade School (K-12))
WBGL,91.7 FM,"Champaign, IL",Holiday (Christian Contemporary)
WVUB,91.1 FM,"Vincennes, IN",Holiday (Hot AC)
KRBB,97.9 FM,"Wichita, KS",Holiday (Adult Contemporary)
KRBI,105.5 FM,"Saint Peter, MN",Holiday (Adult Contemporary)
KREC,98.1 FM,"Brian Head, UT",Holiday (Adult Contemporary)
KRIB,1490 AM,"Mason City, IA",Holiday (Nostalgia)
KRLS,92.1 FM,"Knoxville, IA",Holiday (Classic Hits)
KRNO,106.9 FM,"Incline Village, NV",Holiday (Adult Contemporary)
KRVE,96.1 FM,"Brusly, LA",Holiday (Adult Contemporary)
KRWK,101.9 FM,"Fargo, ND",Holiday (Adult Contemporary)
KRWM,106.9 FM,"Bremerton, WA",Holiday (Adult Contemporary)
KSBJ,89.3 FM,"Humble, TX",Holiday (Christian Contemporary)
KSFI,100.3 FM,"Salt Lake City, UT",Holiday (Adult Contemporary)
KSHA,104.3 FM,"Redding, CA",Holiday (Adult Contemporary)
KSHO,920 AM,"Lebanon, OR",Holiday (Nostalgia)
KSNE,106.5 FM,"Las Vegas, NV",Holiday (Adult Contemporary)
KSOF,98.9 FM,"Dinuba, CA",Holiday (Adult Contemporary)
KSOU,93.9 FM,"Sioux Center, IA",Holiday (Adult Contemporary)
KSRZ,104.5 FM,"Omaha, NE",Holiday (Hot AC)
KSYV,96.7 FM,"Solvang, CA",Holiday (Adult Contemporary)
KTDZ,103.9 FM,"College, AK",Holiday (Adult Hits)
KTPL,88.3 FM,"Pueblo, CO",Holiday (Christian Contemporary)
KTSM,99.9 FM,"El Paso, TX",Holiday (Adult Contemporary)
KVNI,1080 AM,"Coeur D'alene, ID",Holiday (Adult Contemporary)
KVVR,97.9 FM,"Dutton, MT",Holiday (Adult Contemporary)
KWDP,820 AM,"Waldport, OR",Holiday (Nostalgia)
KXBJ,96.9 FM,"El Campo, TX",Holiday (Christian Contemporary)
KXLT,107.9 FM,"Eagle, ID",Holiday (Adult Contemporary)
KXWA,101.9 FM,"Centennial, CO",Holiday (Christian Contemporary)
KYBA,105.3 FM,"Stewartville, MN",Holiday (Adult Contemporary)
KYCH,97.1 FM,"Portland, OR",Holiday (Adult Hits)
KYMG,98.9 FM,"Anchorage, AK",Holiday (Adult Contemporary)
KYMX,96.1 FM,"Sacramento, CA",Holiday (Adult Contemporary)
KYNZ,107.1 FM,"Lone Grove, OK",Holiday (Classic Hits)
KYWY,92.9 FM,"Warren Afb, WY",Holiday (Adult Contemporary)
KYXY,96.5 FM,"San Diego, CA",Holiday (Adult Contemporary)
KZBB,97.9 FM,"Poteau, OK",Holiday (Adult Contemporary)
KZFS,1280 AM,"Spokane, WA",Holiday (Christian Contemporary)
KZLT,104.3 FM,"East Grand Forks, MN",Holiday (Adult Contemporary)
KZRZ,98.3 FM,"West Monroe, LA",Holiday (Adult Contemporary)
WACT,1420 AM,"Tuscaloosa, AL",Holiday (Adult Contemporary)
WAJI,95.1 FM,"Fort Wayne, IN",Holiday (Adult Contemporary)
WAKW,93.3 FM,"Cincinnati, OH",Holiday (Christian Contemporary)
WALK,97.5 FM,"Patchogue, NY",Holiday (Hot AC)
WARM,103.3 FM,"York, PA",Holiday (Adult Contemporary)
WARU,1600 AM,"Peru, IN",Holiday (Adult Contemporary)
