From: https://tlr.nielsen.com/tlr/public/ratingsDisplay.do?method=loadRatingsForMarket,,,,,,,
City,State,Subscriber, Format,16-Sep, OCT 16, NOV 16, DEC 16
Atlanta,GA,WSB-AM,News Talk Information,,10.1,9.9,10.2
Atlanta,GA,WVEE-FM,Urban Contemporary,,6.4,5.9,6.3
Atlanta,GA,WALR-FM,Urban Adult Contemporary,,5.1,5.1,5.5
Atlanta,GA,WHTA-FM,Urban Contemporary,,5.2,5.9,5.4
Atlanta,GA,WSRV-FM,Classic Hits,,5,5.1,4.8
Atlanta,GA,WSB-FM,Adult Contemporary,,4.4,4.9,4.7
Atlanta,GA,WFSH-FM,Adult Contemporary,,5.1,4.6,4.6
Atlanta,GA,WWWQ-FM,Pop Contemporary Hit Radio,,4.3,4.4,4.3
Atlanta,GA,WPZE-FM,Contemporary Inspirational,,3.7,3.7,4.2
Atlanta,GA,WAMJ-FM,Urban Adult Contemporary,,3.8,3.8,4.1
Atlanta,GA,WKHX-FM,Country,,3.8,3.7,4
Atlanta,GA,WSTR-FM,Hot Adult Contemporary,,4.1,4.5,3.7
Atlanta,GA,WWPW-FM,Pop Contemporary Hit Radio,,3.9,3.7,3.7
Atlanta,GA,WABE-FM,News Talk Information,,3.5,2.9,3.2
Atlanta,GA,WUBL-FM,Country,,3.7,3.1,3.2
Atlanta,GA,WZGC-FM,All Sports,,3.2,3.2,3
Atlanta,GA,WRDA-FM,Alternative,,2.4,2.7,2.3
Atlanta,GA,WNNX-FM,Classic Rock,,2,1.9,1.9
Atlanta,GA,WVFJ-FM,Contemporary Christian,,1.5,1.9,1.8
Atlanta,GA,WBZY-FM,Mexican Regional,,1,1.5,1.6
Atlanta,GA,WYAY-FM,All News,,1.2,1.4,1.6
Atlanta,GA,WCLK-FM,Jazz,,1.8,1.5,1.5
Atlanta,GA,WSTR-FM HD3,Urban Contemporary,,1.8,1.8,1.5
Atlanta,GA,WWWQ-FM HD3,Rhythmic Contemporary Hit Radio,,1.5,1.5,1.2
